email,lemma,given_learning,given_followup,location
0,saint,saint,-1,swiss
0,origin,don't know,-1,swiss
0,version,version,-1,swiss
0,federal,federal,-1,swiss
0,title,title,-1,swiss
0,october,October,-1,swiss
0,come,came,-1,swiss
0,island,don't know,-1,swiss
0,begin,begin,-1,swiss
0,river,river,-1,swiss
0,east,east,-1,swiss
0,states,States,-1,swiss
0,human,human,-1,swiss
0,mark,mark,-1,swiss
0,colony,colony,-1,swiss
0,institution,institutions,-1,swiss
0,film,movie,-1,swiss
0,information,information,-1,swiss
0,province,province,-1,swiss
0,navy,navy,-1,swiss
0,figure,figure,-1,swiss
0,estimate,estimated,-1,swiss
0,order,order,-1,swiss
0,king,kings,-1,swiss
0,material,don't know,-1,swiss
0,recognize,studied,-1,swiss
0,office,office,-1,swiss
1,federal,magazine,-1,swiss
1,century,century,-1,swiss
1,island,island,-1,swiss
1,native,native,-1,swiss
1,navy,navy,-1,swiss
1,origin,,-1,swiss
1,bear,,-1,swiss
1,river,river,-1,swiss
1,institution,,-1,swiss
1,education,calculus,-1,swiss
1,figure,figure,-1,swiss
1,version,version,-1,swiss
1,home,home,-1,swiss
1,child,children,-1,swiss
1,estimate,estimated,-1,swiss
1,majority,community,-1,swiss
1,real,,-1,swiss
1,human,people,-1,swiss
1,work,,-1,swiss
1,recognize,recognized,-1,swiss
1,order,native,-1,swiss
1,title,name,-1,swiss
1,come,,-1,swiss
1,information,information,-1,swiss
1,states,states,-1,swiss
1,province,province,-1,swiss
1,begin,begun,-1,swiss
2,information,instructions,-1,swiss
2,federal,,-1,swiss
2,order,order,-1,swiss
2,states,States,-1,swiss
2,home,home,-1,swiss
2,estimate,estimated,-1,swiss
2,version,book,-1,swiss
2,origin,,-1,swiss
2,recognize,studied,-1,swiss
2,education,education,-1,swiss
2,title,name,-1,swiss
2,native,native,-1,swiss
2,province,region,-1,swiss
2,real,,-1,swiss
2,child,children,-1,swiss
2,work,work,-1,swiss
2,island,island,-1,swiss
2,valley,,-1,swiss
2,come,rose,-1,swiss
2,bear,,-1,swiss
2,figure,figure,-1,swiss
2,human,human,-1,swiss
2,river,River,-1,swiss
2,majority,majority,-1,swiss
2,institution,,-1,swiss
2,century,century,-1,swiss
2,begin,,-1,swiss
3,begin,abolished,-1,swiss
3,work,era,-1,swiss
3,bear,bear,-1,swiss
3,figure,period,-1,swiss
3,origin,time,-1,swiss
3,come,came,-1,swiss
3,river,east,-1,swiss
3,majority,world,-1,swiss
3,province,capital,-1,swiss
3,institution,figure,-1,swiss
3,title,name ,-1,swiss
3,information,history,-1,swiss
3,century,century,-1,swiss
3,native,local,-1,swiss
3,child,children,-1,swiss
3,human,common,-1,swiss
3,home,place,-1,swiss
3,states,nations,-1,swiss
3,estimate,approximate,-1,swiss
3,real,people,-1,swiss
3,island,eastern,-1,swiss
3,recognize,done,-1,swiss
3,version,figure,-1,swiss
3,federal,litterature,-1,swiss
3,valley,banks,-1,swiss
3,education,school,-1,swiss
3,navy,Navy,-1,swiss
4,century,century,-1,swiss
4,version,version,,swiss
4,navy,Navy,navy,swiss
4,island,island,island,swiss
4,work,work,-1,swiss
4,information,,information,swiss
4,figure,,,swiss
4,home,,home,swiss
4,estimate,approximate,average,swiss
4,education,,school,swiss
4,begin,began,,swiss
4,recognize,recognized,,swiss
4,majority,majority,majority,swiss
4,federal,,,swiss
4,real,reals,-1,swiss
4,states,States,-1,swiss
4,come,came,-1,swiss
4,institution,,-1,swiss
4,river,River,River,swiss
4,native,native,-1,swiss
4,order,order,order,swiss
4,title,title,title,swiss
4,province,colony,province,swiss
